nome,cpf,idade,data,endereco,bairro,estado
Dr. Juan Da Rocha,475.***.***-80,76.0,1949-10-02,"ladeira de da mota, 16",Desconhecido,Desconhecido
Ana Laura Rocha,531.***.***-70,33.0,1992-01-11,"sítio thomas rodrigues, 41",Desconhecido,Desconhecido
Maria Alice Da Rocha,906.***.***-22,91.0,1933-12-22,"travessa de correia, 46",Desconhecido,Desconhecido
Elisa Lopes,790.***.***-30,,1924-07-02,passarela alexandre da cunha,Desconhecido,Desconhecido
Davi Lucca Pereira,597.***.***-60,71.0,1954-01-28,"jardim de barros, 16",Desconhecido,Desconhecido
Marina Fogaça,410.***.***-20,63.0,1962-04-07,"praça luiz henrique correia, 81",Desconhecido,Desconhecido
Bernardo Ramos,105.***.***-98,82.0,1943-09-03,"lagoa luiza gonçalves, 979",Desconhecido,Desconhecido
Ana Lívia Lopes,971.***.***-02,65.0,1960-11-10,"parque de barbosa, 57",Desconhecido,Desconhecido
Miguel Silva,920.***.***-00,41.0,1984-02-28,"ladeira das neves, 9",Desconhecido,Desconhecido
Sr. Arthur Da Cruz,693.***.***-38,84.0,1940-06-24,lago de cavalcanti,Desconhecido,Desconhecido
Julia Da Mota,571.***.***-20,76.0,1948-09-30,"feira nogueira, 68",Desconhecido,Desconhecido
Agatha Rocha,853.***.***-30,54.0,1971-11-01,setor de dias,Desconhecido,Desconhecido
Isabel Cardoso,608.***.***-40,97.0,1928-08-11,"campo da mata, 42",Desconhecido,Desconhecido
Marcos Vinicius Moura,451.***.***-19,65.0,1959-11-29,"parque dias, 687",Desconhecido,Desconhecido
Levi Da Cunha,718.***.***-75,99.0,1925-04-28,"colônia de viana, 6",Desconhecido,Desconhecido
Cauã Vieira,427.***.***-61,77.0,1947-07-29,via da mata,Desconhecido,Desconhecido
Maria Alice Ferreira,105.***.***-80,39.0,1986-05-01,"praça de duarte, 194",Desconhecido,Desconhecido
Dra. Isabelly Souza,725.***.***-30,34.0,1990-05-23,"campo de moura, 60",Desconhecido,Desconhecido
Heitor Rezende,174.***.***-39,73.0,1951-09-28,"área duarte, 628",Desconhecido,Desconhecido
Maria Vitória Jesus,493.***.***-70,48.0,1977-02-16,"sítio de moura, 13",Desconhecido,Desconhecido
Emanuel Duarte,762.***.***-76,22.0,2003-02-23,"rua de fogaça, 71",Desconhecido,Desconhecido
Ian Lima,163.***.***-66,88.0,1937-07-05,"rua de martins, 9",Desconhecido,Desconhecido
Vitor Alves,687.***.***-22,29.0,1996-06-13,"esplanada ana laura oliveira, 667",Desconhecido,Desconhecido
Rafael Ramos,946.***.***-84,71.0,1954-05-17,"esplanada almeida, 4",Desconhecido,Desconhecido
Ryan Da Cunha,412.***.***-52,88.0,1937-11-04,morro de cardoso,Desconhecido,Desconhecido
Maria Da Cunha,539.***.***-06,79.0,1946-10-07,residencial de duarte,Desconhecido,Desconhecido
Srta. Milena Cardoso,832.***.***-40,67.0,1958-03-07,"praça almeida, 71",Desconhecido,Desconhecido
Bryan Ramos,043.***.***-89,31.0,1993-10-30,"praia costa, 35",Desconhecido,Desconhecido
Luigi Santos,273.***.***-52,38.0,1987-01-04,"via luigi peixoto, 61",Desconhecido,Desconhecido
Isabella Duarte,023.***.***-17,44.0,1980-09-28,"estrada diogo da mata, 91",Desconhecido,Desconhecido
Sophie Azevedo,214.***.***-49,99.0,1926-08-11,"rua kaique freitas, 8",Desconhecido,Desconhecido
Matheus Carvalho,592.***.***-09,61.0,1963-08-31,viela de almeida,Desconhecido,Desconhecido
Júlia Da Cruz,714.***.***-39,95.0,1930-02-12,lagoa joão pedro alves,Desconhecido,Desconhecido
Vitor Peixoto,489.***.***-06,77.0,1947-07-24,"trevo de cardoso, 40",Desconhecido,Desconhecido
Amanda Castro,305.***.***-41,45.0,1980-04-05,"favela erick pereira, 672",Desconhecido,Desconhecido
Lucas Lima,240.***.***-01,93.0,1932-06-16,"vale igor castro, 928",Desconhecido,Desconhecido
Raquel Ramos,052.***.***-25,68.0,1957-10-16,"vereda de costa, 27",Desconhecido,Desconhecido
Dra. Rebeca Nascimento,431.***.***-37,84.0,1941-04-07,"residencial nogueira, 954",Desconhecido,Desconhecido
Theo Da Conceição,846.***.***-46,30.0,1995-03-22,"fazenda maria ribeiro, 81",Desconhecido,Desconhecido
Thiago Da Cunha,631.***.***-24,92.0,1933-06-08,"viela de aragão, 291",Desconhecido,Desconhecido
Davi Lucas Moreira,169.***.***-02,60.0,1964-12-30,"estrada de da costa, 92",Desconhecido,Desconhecido
Helena Costela,950.***.***-68,29.0,1996-02-01,"colônia de fogaça, 78",Desconhecido,Desconhecido
Beatriz Peixoto,243.***.***-96,82.0,1943-04-11,"campo de moura, 904",Desconhecido,Desconhecido
Luigi Fernandes,846.***.***-20,49.0,1976-02-02,"estação igor cunha, 21",Desconhecido,Desconhecido
Gabrielly Almeida,831.***.***-14,67.0,1958-01-11,"estrada da conceição, 23",Desconhecido,Desconhecido
Samuel Sales,439.***.***-55,77.0,1948-08-19,"morro de costela, 73",Desconhecido,Desconhecido
Dr. Otávio Costa,095.***.***-59,38.0,1987-08-09,"chácara da conceição, 2",Desconhecido,Desconhecido
Srta. Ana Beatriz Da Mata,429.***.***-67,92.0,1933-01-28,"feira de martins, 79",Desconhecido,Desconhecido
João Rodrigues,594.***.***-76,26.0,1999-02-19,"colônia duarte, 56",Desconhecido,Desconhecido
Nathan Farias,521.***.***-32,40.0,1985-01-12,"travessa joana gonçalves, 44",Desconhecido,Desconhecido
Dr. Rafael Pereira,581.***.***-55,58.0,1967-07-15,"sítio isis campos, 81",Desconhecido,Desconhecido
Júlia Pereira,871.***.***-12,30.0,1995-02-08,lagoa santos,Desconhecido,Desconhecido
Dra. Laura Barbosa,031.***.***-04,68.0,1956-12-23,"ladeira de moura, 84",Desconhecido,Desconhecido
Juliana Pinto,385.***.***-93,72.0,1953-12-18,"rodovia sales, 21",Desconhecido,Desconhecido
Joana Monteiro,138.***.***-39,56.0,1968-09-29,"parque de costela, 668",Desconhecido,Desconhecido
Dr. Yago Da Rocha,698.***.***-28,77.0,1948-06-15,"fazenda cavalcanti, 859",Desconhecido,Desconhecido
Miguel Nogueira,869.***.***-22,58.0,1967-07-12,quadra de ferreira,Desconhecido,Desconhecido
Isadora Da Rocha,725.***.***-70,96.0,1929-02-20,"via igor da mata, 81",Desconhecido,Desconhecido
Clara Costela,380.***.***-50,83.0,1942-07-13,"trevo joão pedro araújo, 7",Desconhecido,Desconhecido
Dr. Enzo Gabriel Rocha,473.***.***-61,63.0,1962-04-03,"condomínio da cunha, 4",Desconhecido,Desconhecido
Maysa Monteiro,615.***.***-44,95.0,1929-10-27,"parque henrique teixeira, 32",Desconhecido,Desconhecido
Maria Alice Da Rosa,710.***.***-66,31.0,1994-05-09,"vereda silveira, 8",Desconhecido,Desconhecido
Maysa Lopes,196.***.***-76,61.0,1963-05-30,"avenida de araújo, 28",Desconhecido,Desconhecido
Srta. Yasmin Jesus,586.***.***-44,92.0,1932-05-28,"fazenda letícia costela, 6",Desconhecido,Desconhecido
Mariana Costela,372.***.***-00,40.0,1985-11-09,"campo peixoto, 75",Desconhecido,Desconhecido
Clara Almeida,842.***.***-92,36.0,1988-11-23,"parque eloah costa, 91",Desconhecido,Desconhecido
Sofia Aragão,687.***.***-08,37.0,1988-08-13,"rua de santos, 955",Desconhecido,Desconhecido
Elisa Barros,546.***.***-20,28.0,1997-01-19,"estrada sales, 13",Desconhecido,Desconhecido
Joana Silva,349.***.***-57,26.0,1999-09-19,chácara miguel fogaça,Desconhecido,Desconhecido
Lorenzo Porto,812.***.***-13,65.0,1960-05-14,"avenida de araújo, 1",Desconhecido,Desconhecido
Vitória Barbosa,583.***.***-77,49.0,1976-10-19,"vale de monteiro, 267",Desconhecido,Desconhecido
Alícia Da Rosa,035.***.***-51,85.0,1940-04-05,"trecho luana barros, 338",Desconhecido,Desconhecido
Lucas Monteiro,739.***.***-75,99.0,1926-12-11,"parque enzo almeida, 62",Desconhecido,Desconhecido
Rodrigo Caldeira,816.***.***-37,48.0,1976-12-22,condomínio joana lima,Desconhecido,Desconhecido
Luna Rezende,456.***.***-57,52.0,1972-05-21,"esplanada matheus da costa, 90",Desconhecido,Desconhecido
Diogo Rezende,680.***.***-24,82.0,1943-12-01,"residencial novaes, 84",Desconhecido,Desconhecido
Anthony Da Costa,805.***.***-21,66.0,1959-01-09,"praia ian da mota, 383",Desconhecido,Desconhecido
Maria Cecília Vieira,716.***.***-55,60.0,1965-07-10,rodovia emanuel da cruz,Desconhecido,Desconhecido
Sra. Maria Julia Novaes,019.***.***-01,43.0,1981-04-27,"ladeira da cruz, 635",Desconhecido,Desconhecido
João Pedro Peixoto,243.***.***-55,65.0,1960-02-10,"trecho cavalcanti, 3",Desconhecido,Desconhecido
Alana Fernandes,198.***.***-09,48.0,1976-08-29,"estação rocha, 975",Desconhecido,Desconhecido
Sra. Mirella Rezende,247.***.***-50,51.0,1973-08-29,"vale de cavalcanti, 98",Desconhecido,Desconhecido
Gabrielly Moreira,608.***.***-62,54.0,1971-09-18,"lago caldeira, 363",Desconhecido,Desconhecido
Sra. Sofia Souza,605.***.***-48,92.0,1933-06-14,"vila gomes, 366",Desconhecido,Desconhecido
Mariane Melo,735.***.***-77,76.0,1949-12-16,"rodovia ana beatriz cardoso, 97",Desconhecido,Desconhecido
Lorena Souza,048.***.***-49,38.0,1987-06-15,"vereda sales, 83",Desconhecido,Desconhecido
Fernando Da Mata,280.***.***-08,28.0,1996-06-30,"ladeira clara da cruz, 37",Desconhecido,Desconhecido
Laura Cardoso,821.***.***-17,30.0,1994-04-26,"setor de costa, 1",Desconhecido,Desconhecido
Marina Da Cruz,724.***.***-26,52.0,1972-06-21,"avenida castro, 718",Desconhecido,Desconhecido
Maria Rocha,163.***.***-03,41.0,1984-11-02,"recanto isabel da conceição, 6",Desconhecido,Desconhecido
Pedro Henrique Almeida,318.***.***-57,47.0,1977-08-25,"núcleo de rodrigues, 95",Desconhecido,Desconhecido
Dr. Davi Luiz Nunes,604.***.***-16,90.0,1935-08-19,"setor de barros, 58",Desconhecido,Desconhecido
Vitor Gabriel Costela,175.***.***-43,58.0,1967-04-15,"praia pietra caldeira, 60",Desconhecido,Desconhecido
Dr. Luigi Barbosa,641.***.***-39,100.0,1924-11-24,"quadra yasmin caldeira, 4",Desconhecido,Desconhecido
Rodrigo Azevedo,687.***.***-75,24.0,2001-12-06,praia de nogueira,Desconhecido,Desconhecido
Pedro Henrique Cardoso,324.***.***-04,51.0,1973-05-31,"rua de castro, 65",Desconhecido,Desconhecido
Sr. João Cardoso,032.***.***-74,20.0,2005-03-03,"pátio antônio da mota, 79",Desconhecido,Desconhecido
Maria Julia Nunes,381.***.***-35,78.0,1947-10-09,setor de ferreira,Desconhecido,Desconhecido
Fernanda Duarte,453.***.***-15,24.0,2000-10-31,"vereda da rocha, 6",Desconhecido,Desconhecido
Marcos Vinicius Oliveira,280.***.***-95,82.0,1943-03-02,"parque de azevedo, 8",Desconhecido,Desconhecido
Leandro Aragão,124.***.***-32,,1924-10-17,"campo gabriela rodrigues, 9",Desconhecido,Desconhecido
Maria Alice Vieira,832.***.***-44,70.0,1955-05-04,"via nogueira, 82",Desconhecido,Desconhecido
Ana Luiza Jesus,541.***.***-91,67.0,1958-06-14,Endereço inválido,Desconhecido,Desconhecido
Guilherme Cardoso,197.***.***-21,73.0,1952-03-27,"trevo nicole da cruz, 7",Desconhecido,Desconhecido
Luiz Felipe Azevedo,439.***.***-52,50.0,1975-03-19,"campo erick fernandes, 464",Desconhecido,Desconhecido
Nathan Araújo,813.***.***-89,62.0,1963-06-14,quadra de martins,Desconhecido,Desconhecido
Clara Ferreira,467.***.***-28,80.0,1945-01-22,"fazenda de ferreira, 76",Desconhecido,Desconhecido
Felipe Da Mata,634.***.***-69,87.0,1938-12-02,"estrada gabrielly rocha, 634",Desconhecido,Desconhecido
Enzo Gabriel Azevedo,789.***.***-48,68.0,1956-04-27,"estação cardoso, 175",Desconhecido,Desconhecido
Maitê Barbosa,231.***.***-07,22.0,2003-05-18,"estrada duarte, 37",Desconhecido,Desconhecido
Srta. Isis Da Cruz,073.***.***-78,90.0,1934-08-30,"praia moreira, 20",Desconhecido,Desconhecido
Otávio Da Mata,835.***.***-29,53.0,1972-05-06,"largo de da cruz, 431",Desconhecido,Desconhecido
Sophie Castro,165.***.***-09,41.0,1983-05-27,"trevo de moraes, 78",Desconhecido,Desconhecido
Diogo Da Cunha,263.***.***-60,34.0,1990-05-29,"distrito kaique costa, 17",Desconhecido,Desconhecido
Benício Fernandes,389.***.***-77,32.0,1993-09-13,"condomínio da cunha, 964",Desconhecido,Desconhecido
João Pedro Silva,523.***.***-06,46.0,1978-12-25,"praia de almeida, 38",Desconhecido,Desconhecido
Heloísa Cunha,260.***.***-83,22.0,2003-11-15,"aeroporto santos, 94",Desconhecido,Desconhecido
Bruno Novaes,190.***.***-93,74.0,1951-04-05,"alameda de da mata, 18",Desconhecido,Desconhecido
Levi Cavalcanti,291.***.***-55,81.0,1944-03-25,"aeroporto aragão, 8",Desconhecido,Desconhecido
João Pedro Lopes,407.***.***-96,55.0,1970-04-15,"vereda daniel gonçalves, 6",Desconhecido,Desconhecido
Heloísa Da Luz,569.***.***-57,62.0,1963-01-03,"conjunto de cunha, 63",Desconhecido,Desconhecido
Lorena Gomes,298.***.***-65,21.0,2004-03-18,"rodovia de cavalcanti, 47",Desconhecido,Desconhecido
Milena Vieira,623.***.***-51,98.0,1927-01-05,"loteamento thiago fernandes, 51",Desconhecido,Desconhecido
Milena Ramos,160.***.***-34,48.0,1977-09-06,praça breno ribeiro,Desconhecido,Desconhecido
Vitor Hugo Ramos,286.***.***-78,74.0,1951-02-14,"viela alice nogueira, 65",Desconhecido,Desconhecido
Ana Julia Nascimento,197.***.***-31,65.0,1960-10-04,aeroporto cavalcanti,Desconhecido,Desconhecido
Dr. Enrico Carvalho,254.***.***-00,56.0,1969-04-10,travessa de santos,Desconhecido,Desconhecido
Vitor Hugo Cunha,701.***.***-39,92.0,1933-02-02,"passarela isis porto, 38",Desconhecido,Desconhecido
Dr. Samuel Moura,402.***.***-05,23.0,2001-11-24,"parque daniel pinto, 7",Desconhecido,Desconhecido
Luana Nascimento,314.***.***-50,32.0,1993-12-13,"vila letícia da paz, 17",Desconhecido,Desconhecido
Dra. Maria Vitória Viana,250.***.***-00,99.0,1926-03-20,colônia de moura,Desconhecido,Desconhecido
Sr. Calebe Duarte,936.***.***-04,62.0,1963-05-07,"alameda joão pedro castro, 14",Desconhecido,Desconhecido
Leonardo Costela,624.***.***-29,33.0,1992-11-16,via de jesus,Desconhecido,Desconhecido
Benício Moreira,136.***.***-24,45.0,1980-01-21,"feira marcos vinicius da cruz, 317",Desconhecido,Desconhecido
Lucca Mendes,819.***.***-76,85.0,1940-10-16,"via de ferreira, 44",Desconhecido,Desconhecido
Sophie Farias,741.***.***-00,89.0,1936-05-09,"aeroporto de ribeiro, 65",Desconhecido,Desconhecido
Bruna Da Rocha,845.***.***-19,64.0,1961-06-10,"loteamento otávio freitas, 74",Desconhecido,Desconhecido
Heitor Nascimento,493.***.***-84,82.0,1942-06-30,área maria fernanda pinto,Desconhecido,Desconhecido
Rafael Porto,629.***.***-30,28.0,1996-04-24,"alameda da mata, 64",Desconhecido,Desconhecido
Luiz Miguel Da Paz,647.***.***-80,32.0,1993-06-20,"estrada de ribeiro, 73",Desconhecido,Desconhecido
Srta. Pietra Duarte,913.***.***-04,97.0,1928-07-02,"aeroporto de nascimento, 13",Desconhecido,Desconhecido
Eloah Cunha,908.***.***-60,24.0,2001-10-13,"chácara de costa, 62",Desconhecido,Desconhecido
Bruna Rodrigues,625.***.***-67,23.0,2002-04-06,"campo da costa, 719",Desconhecido,Desconhecido
Felipe Monteiro,172.***.***-68,98.0,1926-12-21,"quadra de monteiro, 43",Desconhecido,Desconhecido
Isis Campos,178.***.***-41,39.0,1986-01-03,estrada pereira,Desconhecido,Desconhecido
Vitor Novaes,586.***.***-08,79.0,1946-07-07,"lagoa de da rocha, 60",Desconhecido,Desconhecido
Yago Porto,907.***.***-01,43.0,1981-07-29,"parque alícia cavalcanti, 234",Desconhecido,Desconhecido
Guilherme Campos,354.***.***-79,57.0,1968-11-20,"largo de duarte, 24",Desconhecido,Desconhecido
Vitor Moraes,297.***.***-99,27.0,1998-04-02,"campo enrico lima, 20",Desconhecido,Desconhecido
João Gabriel Jesus,790.***.***-01,100.0,1925-06-10,"favela martins, 7",Desconhecido,Desconhecido
Dr. Vitor Hugo Rezende,796.***.***-58,30.0,1995-06-07,"ladeira barros, 84",Desconhecido,Desconhecido
Dr. Arthur Carvalho,081.***.***-97,40.0,1985-12-10,"jardim silveira, 35",Desconhecido,Desconhecido
Ryan Mendes,239.***.***-55,46.0,1978-04-27,"viaduto evelyn ribeiro, 56",Desconhecido,Desconhecido
Ana Laura Silva,485.***.***-47,78.0,1946-04-24,"campo de farias, 77",Desconhecido,Desconhecido
Lorenzo Novaes,370.***.***-05,45.0,1979-08-31,"loteamento alice freitas, 3",Desconhecido,Desconhecido
Cauê Cardoso,019.***.***-60,20.0,2005-08-09,"trecho alícia monteiro, 61",Desconhecido,Desconhecido
Dra. Ana Luiza Silveira,324.***.***-40,84.0,1941-05-07,"alameda pinto, 59",Desconhecido,Desconhecido
Lavínia Azevedo,318.***.***-03,77.0,1948-10-17,"condomínio larissa teixeira, 216",Desconhecido,Desconhecido
Letícia Jesus,451.***.***-19,77.0,1947-04-25,"vale de da mata, 75",Desconhecido,Desconhecido
Bruna Ribeiro,352.***.***-10,73.0,1952-09-11,trevo beatriz cardoso,Desconhecido,Desconhecido
Theo Da Mata,758.***.***-44,67.0,1958-08-04,"feira souza, 65",Desconhecido,Desconhecido
João Gabriel Porto,956.***.***-91,53.0,1972-08-14,"fazenda luiza campos, 62",Desconhecido,Desconhecido
Maria Julia Freitas,178.***.***-53,74.0,1950-08-31,"loteamento de gomes, 86",Desconhecido,Desconhecido
Dr. Otávio Barros,683.***.***-21,28.0,1997-04-16,"condomínio marina costela, 29",Desconhecido,Desconhecido
Yasmin Gomes,827.***.***-35,100.0,1924-06-28,"feira letícia nascimento, 5",Desconhecido,Desconhecido
Sofia Novaes,576.***.***-83,45.0,1979-07-31,"aeroporto de ribeiro, 57",Desconhecido,Desconhecido
Ian Da Luz,152.***.***-77,36.0,1988-10-26,"feira moura, 2",Desconhecido,Desconhecido
Davi Luiz Souza,857.***.***-53,78.0,1947-10-04,"favela peixoto, 76",Desconhecido,Desconhecido
Cecília Araújo,032.***.***-26,21.0,2004-08-02,"distrito rezende, 61",Desconhecido,Desconhecido
Luiz Gustavo Duarte,381.***.***-44,61.0,1964-10-03,"favela caldeira, 98",Desconhecido,Desconhecido
Ana Julia Cardoso,704.***.***-88,29.0,1996-10-19,"chácara campos, 423",Desconhecido,Desconhecido
Gabrielly Lima,560.***.***-30,99.0,1925-06-30,"parque alves, 70",Desconhecido,Desconhecido
Heloísa Ribeiro,437.***.***-37,65.0,1960-12-19,sítio luiz gustavo cunha,Desconhecido,Desconhecido
Letícia Costa,530.***.***-70,45.0,1980-05-19,"viela yago oliveira, 70",Desconhecido,Desconhecido
Ana Beatriz Da Rocha,438.***.***-04,81.0,1944-12-18,"alameda joão fernandes, 25",Desconhecido,Desconhecido
Benjamin Moura,975.***.***-97,23.0,2002-04-15,"trevo de rezende, 83",Desconhecido,Desconhecido
Ana Julia Fogaça,103.***.***-70,39.0,1986-05-15,"área de gonçalves, 31",Desconhecido,Desconhecido
Clara Da Mata,354.***.***-00,42.0,1983-08-09,"aeroporto de gomes, 936",Desconhecido,Desconhecido
Fernanda Oliveira,102.***.***-14,43.0,1981-10-30,"trevo correia, 72",Desconhecido,Desconhecido
Laura Das Neves,723.***.***-29,26.0,1999-02-26,"viaduto vitor gabriel ferreira, 32",Desconhecido,Desconhecido
Lívia Teixeira,694.***.***-29,41.0,1984-05-09,"alameda teixeira, 9",Desconhecido,Desconhecido
Eloah Moreira,904.***.***-00,91.0,1934-06-08,"pátio de nunes, 3",Desconhecido,Desconhecido
Lívia Cardoso,619.***.***-61,89.0,1936-05-14,campo de da paz,Desconhecido,Desconhecido
Augusto Freitas,930.***.***-01,63.0,1961-08-23,"trevo marcos vinicius jesus, 4",Desconhecido,Desconhecido
Raquel Fernandes,467.***.***-94,77.0,1947-05-24,"parque de teixeira, 132",Desconhecido,Desconhecido
Sr. Anthony Da Costa,614.***.***-07,34.0,1991-06-12,"área lima, 7",Desconhecido,Desconhecido
Murilo Melo,431.***.***-80,23.0,2001-11-21,"trecho pires, 10",Desconhecido,Desconhecido
Srta. Mirella Barbosa,430.***.***-75,86.0,1939-01-31,pátio de da rosa,Desconhecido,Desconhecido
Gabriela Das Neves,437.***.***-65,42.0,1983-04-17,avenida emilly pereira,Desconhecido,Desconhecido
Bruno Da Cunha,259.***.***-24,31.0,1994-05-08,quadra costa,Desconhecido,Desconhecido
Alexandre Rodrigues,740.***.***-85,59.0,1966-07-07,"vale rezende, 20",Desconhecido,Desconhecido
Natália Rezende,784.***.***-11,62.0,1962-04-30,"sítio nascimento, 64",Desconhecido,Desconhecido
Emilly Caldeira,732.***.***-07,24.0,2000-05-28,"estrada eduardo porto, 85",Desconhecido,Desconhecido
Levi Azevedo,639.***.***-91,86.0,1939-02-05,"estação da cruz, 13",Desconhecido,Desconhecido
Nicole Da Rocha,567.***.***-90,25.0,2000-10-07,"distrito clara viana, 41",Desconhecido,Desconhecido
Joana Moreira,435.***.***-51,66.0,1959-08-18,"viela de das neves, 139",Desconhecido,Desconhecido
Maria Eduarda Almeida,573.***.***-56,73.0,1952-03-12,"travessa de barros, 4",Desconhecido,Desconhecido
Marcela Da Cruz,876.***.***-78,93.0,1932-03-05,"viela viana, 95",Desconhecido,Desconhecido
Helena Nunes,843.***.***-42,88.0,1937-08-16,"feira vieira, 28",Desconhecido,Desconhecido
Isaac Oliveira,209.***.***-01,51.0,1973-08-22,"rodovia cardoso, 377",Desconhecido,Desconhecido
Manuela Pinto,094.***.***-20,41.0,1984-04-13,"praia almeida, 6",Desconhecido,Desconhecido
Bryan Ramos,681.***.***-94,37.0,1988-06-03,"aeroporto de da rocha, 27",Desconhecido,Desconhecido
Sr. Enzo Gabriel Fernandes,769.***.***-21,19.0,2005-08-24,"rodovia laís nunes, 50",Desconhecido,Desconhecido
Brenda Ramos,269.***.***-83,99.0,1926-04-19,"rodovia de souza, 416",Desconhecido,Desconhecido
Yuri Rezende,564.***.***-89,99.0,1926-04-17,"praia costa, 3",Desconhecido,Desconhecido
Luiz Miguel Da Costa,630.***.***-34,75.0,1950-03-09,via porto,Desconhecido,Desconhecido
Enzo Nogueira,187.***.***-69,64.0,1961-08-01,"campo cauã freitas, 66",Desconhecido,Desconhecido
Davi Lucca Azevedo,035.***.***-10,68.0,1956-09-30,"condomínio cunha, 74",Desconhecido,Desconhecido
Luiz Otávio Fernandes,716.***.***-85,71.0,1954-08-08,núcleo pietro barros,Desconhecido,Desconhecido
Thomas Correia,083.***.***-66,78.0,1947-02-14,"aeroporto melo, 31",Desconhecido,Desconhecido
Davi Lucca Teixeira,647.***.***-26,84.0,1941-11-16,"condomínio de lima, 66",Desconhecido,Desconhecido
Luiz Gustavo Ribeiro,149.***.***-78,31.0,1994-09-19,"pátio davi lucca viana, 6",Desconhecido,Desconhecido
Pietra Da Mata,427.***.***-08,67.0,1957-05-27,"feira gonçalves, 4",Desconhecido,Desconhecido
Joaquim Azevedo,016.***.***-16,70.0,1955-03-25,núcleo viana,Desconhecido,Desconhecido
Sra. Agatha Melo,506.***.***-60,27.0,1998-02-10,"feira de oliveira, 1",Desconhecido,Desconhecido
Maria Julia Lopes,613.***.***-68,56.0,1969-04-02,"campo araújo, 10",Desconhecido,Desconhecido
Dr. Marcelo Cardoso,862.***.***-07,80.0,1945-04-15,lagoa ana sophia oliveira,Desconhecido,Desconhecido
Catarina Moreira,207.***.***-11,34.0,1991-03-29,"jardim sales, 42",Desconhecido,Desconhecido
Heitor Vieira,089.***.***-92,75.0,1950-01-27,"morro aragão, 796",Desconhecido,Desconhecido
Luiz Fernando Da Luz,071.***.***-01,75.0,1950-04-09,"aeroporto pietro oliveira, 4",Desconhecido,Desconhecido
Sabrina Silva,216.***.***-69,86.0,1939-06-06,"rodovia pedro henrique santos, 46",Desconhecido,Desconhecido
Luiz Henrique Martins,648.***.***-82,46.0,1978-10-21,"praia ferreira, 17",Desconhecido,Desconhecido
Catarina Carvalho,196.***.***-10,47.0,1977-05-29,"vila de farias, 46",Desconhecido,Desconhecido
Ana Vitória Azevedo,529.***.***-01,78.0,1947-08-10,"campo yasmin moreira, 49",Desconhecido,Desconhecido
Thales Campos,412.***.***-89,82.0,1943-03-08,"avenida lavínia castro, 46",Desconhecido,Desconhecido
Thales Oliveira,369.***.***-50,83.0,1941-06-24,condomínio levi almeida,Desconhecido,Desconhecido
Fernanda Cavalcanti,912.***.***-51,71.0,1953-11-28,"viela isis gomes, 43",Desconhecido,Desconhecido
Dr. João Gabriel Da Conceição,831.***.***-00,47.0,1977-08-31,"jardim luiz felipe duarte, 1",Desconhecido,Desconhecido
Noah Barros,310.***.***-86,33.0,1991-12-22,"jardim almeida, 48",Desconhecido,Desconhecido
Dr. Felipe Novaes,685.***.***-59,52.0,1972-10-29,"pátio de ribeiro, 16",Desconhecido,Desconhecido
Luiz Fernando Aragão,120.***.***-01,21.0,2004-09-15,"ladeira mariane santos, 7",Desconhecido,Desconhecido
Ana Júlia Cardoso,812.***.***-76,84.0,1941-11-04,"vila silveira, 86",Desconhecido,Desconhecido
Marina Ramos,068.***.***-10,62.0,1963-05-08,"ladeira duarte, 35",Desconhecido,Desconhecido
Dra. Joana Lopes,619.***.***-11,58.0,1966-06-26,"viaduto de novaes, 952",Desconhecido,Desconhecido
Isabel Duarte,146.***.***-87,58.0,1966-12-27,"aeroporto isaac da conceição, 1",Desconhecido,Desconhecido
Paulo Jesus,078.***.***-92,54.0,1970-04-25,"fazenda de porto, 4",Desconhecido,Desconhecido
Laura Costa,540.***.***-25,85.0,1940-02-27,"distrito de moraes, 56",Desconhecido,Desconhecido
Sra. Milena Pinto,280.***.***-24,65.0,1960-02-29,"jardim novaes, 13",Desconhecido,Desconhecido
Danilo Ribeiro,109.***.***-80,69.0,1956-06-20,"ladeira de da conceição, 76",Desconhecido,Desconhecido
Lívia Nunes,742.***.***-23,50.0,1975-03-14,"passarela de porto, 65",Desconhecido,Desconhecido
Alícia Rodrigues,349.***.***-16,52.0,1972-08-26,"travessa de farias, 9",Desconhecido,Desconhecido
Agatha Rezende,057.***.***-79,95.0,1929-10-25,"parque da luz, 3",Desconhecido,Desconhecido
Juliana Santos,605.***.***-59,95.0,1930-09-18,"parque de silveira, 6",Desconhecido,Desconhecido
Maria Fernanda Da Conceição,408.***.***-50,63.0,1961-09-26,"campo santos, 714",Desconhecido,Desconhecido
Daniela Barbosa,861.***.***-64,37.0,1988-04-19,"área de moreira, 82",Desconhecido,Desconhecido
Arthur Pinto,562.***.***-25,32.0,1993-07-08,viela kamilly cunha,Desconhecido,Desconhecido
Emanuel Aragão,910.***.***-57,43.0,1982-09-04,"campo de da cruz, 22",Desconhecido,Desconhecido
Dra. Alice Vieira,936.***.***-00,78.0,1946-12-28,rodovia cunha,Desconhecido,Desconhecido
Maria Cecília Moreira,805.***.***-71,66.0,1959-02-18,"passarela joão pedro nunes, 6",Desconhecido,Desconhecido
,532.***.***-41,75.0,1950-10-01,"estação alves, 8",Desconhecido,Desconhecido
Maria Vitória Campos,380.***.***-57,57.0,1968-07-05,"viela da costa, 16",Desconhecido,Desconhecido
